iter	MultiClass
0	3.198824945
1	3.18024909
2	3.162860129
3	3.146877355
4	3.131829647
5	3.117938099
6	3.104869584
7	3.092652439
8	3.080972397
9	3.070044924
10	3.059649455
11	3.05009631
12	3.040784109
13	3.031948677
14	3.023553079
15	3.01570199
16	3.008505198
17	3.001644283
18	2.995087532
19	2.988716773
20	2.982803755
21	2.977059655
22	2.971791283
23	2.966585236
24	2.961704311
25	2.957031382
26	2.952547938
27	2.948453743
28	2.944289507
29	2.940363393
30	2.936688549
31	2.933043019
32	2.929598508
33	2.926109037
34	2.923014947
35	2.919847215
36	2.916909602
37	2.914210739
38	2.911683277
39	2.909001762
40	2.906630677
41	2.904307713
42	2.902067427
43	2.899947025
44	2.897894793
45	2.895778465
46	2.893683761
47	2.891965938
48	2.890363338
49	2.888800412
50	2.887008632
51	2.885473436
52	2.883785725
53	2.882162727
54	2.880663113
55	2.879238335
56	2.877684515
57	2.876552118
58	2.875219285
59	2.873873641
60	2.872712306
61	2.871334541
62	2.869971727
63	2.868638269
64	2.867693703
65	2.866635757
66	2.865626892
67	2.864817049
68	2.863739457
69	2.862780795
70	2.861761099
71	2.860778521
72	2.85999786
73	2.859189816
74	2.858365392
75	2.857678416
76	2.85679844
77	2.855908591
78	2.855061551
79	2.854479824
80	2.853871831
81	2.853113175
82	2.852384852
83	2.85169931
84	2.850870934
85	2.850311019
86	2.849572142
87	2.848876927
88	2.848183362
89	2.847438492
90	2.846977392
91	2.846163521
92	2.84568135
93	2.845259605
94	2.844805954
95	2.844053796
96	2.843613245
97	2.843101362
98	2.842605101
99	2.842279789
100	2.841896131
101	2.841386051
102	2.840816507
103	2.840102101
104	2.839456415
105	2.839006997
106	2.83871376
107	2.838114904
108	2.837716254
109	2.837200891
110	2.83664621
111	2.835986581
112	2.83556093
113	2.835117862
114	2.834514943
115	2.834165524
116	2.833575536
117	2.833031608
118	2.832631674
119	2.832172583
120	2.831864267
121	2.831495574
122	2.831176726
123	2.83069669
124	2.830260977
125	2.829667923
126	2.829198812
127	2.828708491
128	2.828193674
129	2.827618753
130	2.827187365
131	2.826765498
132	2.826407166
133	2.826052634
134	2.825664699
135	2.825223941
136	2.824776254
137	2.824252743
138	2.823958854
139	2.823682544
140	2.823368443
141	2.82294294
142	2.822491812
143	2.822172227
144	2.821812008
145	2.821484911
146	2.821110639
147	2.820721773
148	2.820349713
149	2.819948401
150	2.819632078
151	2.819435869
152	2.819008856
153	2.818521647
154	2.818287399
155	2.817673853
156	2.817394954
157	2.817124105
158	2.816832255
159	2.816493322
160	2.816234806
161	2.815863918
162	2.815629004
163	2.815285779
164	2.81482413
165	2.814665446
166	2.814234255
167	2.813858027
168	2.813627799
169	2.813087036
170	2.812758215
171	2.812284974
172	2.811980024
173	2.811592422
174	2.811245347
175	2.810936456
176	2.810490638
177	2.810112871
178	2.809913715
179	2.809498268
180	2.808973527
181	2.808600373
182	2.808281337
183	2.807963989
184	2.8077498
185	2.807329041
186	2.807054664
187	2.806894009
188	2.806425626
189	2.806078464
190	2.805823173
191	2.80560419
192	2.805307523
193	2.804983454
194	2.804638358
195	2.804426661
196	2.804024713
197	2.803823902
198	2.803506236
199	2.803200713
200	2.80269289
201	2.802493317
202	2.802018825
203	2.801667876
204	2.8011969
205	2.800869357
206	2.800546298
207	2.800166009
208	2.799769226
209	2.799585028
210	2.799259898
211	2.79887202
212	2.798577094
213	2.798195024
214	2.797977799
215	2.797591241
216	2.797319053
217	2.797044934
218	2.796807402
219	2.796576779
220	2.796481774
221	2.796204201
222	2.795813349
223	2.795592386
224	2.795285436
225	2.795193871
226	2.795013489
227	2.794836564
228	2.794622993
229	2.794381429
230	2.794077638
231	2.79390488
232	2.793460851
233	2.793032044
234	2.792789752
235	2.792552937
236	2.79235049
237	2.792094548
238	2.791677862
239	2.791338983
240	2.791003183
241	2.790557773
242	2.790334358
243	2.790006151
244	2.789809185
245	2.789533024
246	2.789234547
247	2.788847566
248	2.788560779
249	2.788410837
250	2.788176101
251	2.78781396
252	2.787670618
253	2.787456142
254	2.787238256
255	2.787006139
256	2.786818398
257	2.786542582
258	2.786179852
259	2.785964171
260	2.785644961
261	2.785366225
262	2.785278635
263	2.784995987
264	2.78458386
265	2.784375309
266	2.784129992
267	2.783775267
268	2.783427536
269	2.783166106
270	2.78288128
271	2.782566038
272	2.782343497
273	2.782032019
274	2.781652738
275	2.781347453
276	2.780941534
277	2.780612243
278	2.78044832
279	2.780194955
280	2.779983947
281	2.779695234
282	2.779302645
283	2.779051005
284	2.778893043
285	2.778414688
286	2.77808433
287	2.777987421
288	2.777807902
289	2.777478677
290	2.777230358
291	2.776986988
292	2.776643579
293	2.776391041
294	2.776031616
295	2.775914635
296	2.775641109
