iter	Passed	Remaining
0	3255	1624589
1	6522	1624205
2	9659	1600239
3	12766	1583078
4	15882	1572362
5	18990	1563586
6	22086	1555489
7	25152	1546883
8	28228	1540016
9	31463	1541710
10	34565	1536583
11	37731	1534415
12	40909	1532523
13	44118	1531531
14	47626	1539924
15	51087	1545408
16	54329	1543602
17	57600	1542406
18	60895	1541607
19	64307	1543378
20	67638	1542801
21	71313	1549438
22	74905	1553469
23	78224	1551453
24	81483	1548195
25	84649	1543219
26	87847	1538959
27	91012	1534219
28	94205	1530025
29	97370	1525471
30	100524	1520830
31	103695	1516549
32	106820	1511677
33	110001	1507661
34	113152	1503311
35	116382	1500045
36	119613	1496782
37	122888	1494060
38	126030	1489743
39	129218	1486012
40	132371	1481913
41	135531	1477934
42	138674	1473824
43	141834	1469926
44	144963	1465746
45	148121	1461896
46	151356	1458815
47	154484	1454728
48	157612	1450679
49	160792	1447131
50	164000	1443844
51	167135	1439936
52	170304	1436341
53	173567	1433543
54	176763	1430174
55	179932	1426607
56	183175	1423625
57	186364	1420224
58	189734	1418184
59	193220	1416952
60	196538	1414431
61	199860	1411919
62	203252	1409862
63	206506	1406826
64	209693	1403336
65	212927	1400160
66	216166	1397018
67	219343	1393478
68	222538	1390061
69	225728	1386615
70	228971	1383503
71	232191	1380247
72	235355	1376668
73	238547	1373262
74	241772	1370041
75	244939	1366505
76	248150	1363216
77	251391	1360092
78	254634	1356976
79	257795	1353425
80	260976	1349990
81	264149	1346519
82	267332	1343106
83	270523	1339734
84	273783	1336709
85	276948	1333218
86	280162	1329967
87	283432	1326977
88	286656	1323775
89	289886	1320595
90	293057	1317147
91	296282	1313949
92	299466	1310567
93	302667	1307265
94	305863	1303945
95	309079	1300709
96	312294	1297471
97	315461	1294037
98	318644	1290671
99	321912	1287650
100	325102	1284314
101	328422	1281490
102	331656	1278328
103	334982	1275509
104	338238	1272421
105	341427	1269080
106	344623	1265767
107	347861	1262610
108	351078	1259374
109	354304	1256171
110	357543	1253013
111	360790	1249882
112	364000	1246620
113	367194	1243308
114	370429	1240133
115	373680	1237010
116	376898	1233779
117	380144	1230637
118	383341	1227337
119	386587	1224193
120	389779	1220879
121	393045	1217795
122	396238	1214488
123	399475	1211313
124	402700	1208101
125	405903	1204824
126	409099	1201528
127	412398	1198534
128	415624	1195324
129	418884	1192211
130	422078	1188907
131	425324	1185752
132	428541	1182516
133	431725	1179190
134	434954	1175987
135	438179	1172775
136	441396	1169538
137	444605	1166283
138	447784	1162950
139	450997	1159708
140	454184	1156398
141	457388	1153133
